"crAss"	"res"	"bp"	"rel_crAss"	"rel_res"	"sample_id"	"project_id"	"mgrast_id"	"biome"	"feature"	"material"	"env_package"	"location"	"country"	"continent"	"latitude"	"longitude"	"collection_date"	"samp_collect_device"
"mgm4497377.3"	NA	133	1976702169	NA	67.2837831038976	"mgs70490"	"mgp1519"	"mgs70490"	"Tropical and subtropical moist broadleaf forest biome"	"pasture soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7145028	-55.7930737	"2011-03-03"	"-"
"mgm4497378.3"	NA	86	1293611929	NA	66.4805248560753	"mgs70493"	"mgp1519"	"mgs70493"	"Tropical and subtropical moist broadleaf forest biome"	"pasture soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7145028	-55.7930737	"2011-03-03"	"-"
"mgm4497379.3"	NA	158	2260352312	NA	69.9006076005022	"mgs70496"	"mgp1519"	"mgs70496"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7415612	-56.2623677	"2009-10-27"	"-"
"mgm4497380.3"	NA	88	1515302455	NA	58.0742146293164	"mgs70499"	"mgp1519"	"mgs70499"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7415612	-56.2623677	"2009-10-27"	"-"
"mgm4497381.3"	NA	119	1825201391	NA	65.1982847409522	"mgs70502"	"mgp1519"	"mgs70502"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7415612	-56.2623677	"2010-04-10"	"-"
"mgm4497382.3"	NA	102	1612235436	NA	63.2661940820906	"mgs70505"	"mgp1519"	"mgs70505"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7415612	-56.2623677	"2010-04-10"	"-"
"mgm4497383.3"	NA	95	1577712591	NA	60.2137553708602	"mgs70508"	"mgp1519"	"mgs70508"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7415612	-56.2623677	"2010-11-01"	"-"
"mgm4497384.3"	NA	108	1588673056	NA	67.981262470659	"mgs70511"	"mgp1519"	"mgs70511"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7415612	-56.2623677	"2010-11-01"	"-"
"mgm4497385.3"	NA	119	1820555273	NA	65.3646729461314	"mgs70514"	"mgp1519"	"mgs70514"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7415612	-56.2623677	"2011-03-03"	"-"
"mgm4497386.3"	NA	113	1426155558	NA	79.2339933509553	"mgs70517"	"mgp1519"	"mgs70517"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7415612	-56.2623677	"2011-03-03"	"-"
"mgm4497387.3"	NA	131	1748852160	NA	74.9062745246574	"mgs70520"	"mgp1519"	"mgs70520"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7412664	-56.2533385	"2009-10-27"	"-"
"mgm4497388.3"	NA	113	1328247572	NA	85.0745014574738	"mgs70523"	"mgp1519"	"mgs70523"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7412664	-56.2533385	"2009-10-27"	"-"
"mgm4497389.3"	NA	112	1524530261	NA	73.4652521272584	"mgs70415"	"mgp1519"	"mgs70415"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6823977	-55.8351277	"2009-10-27"	"-"
"mgm4497390.3"	NA	127	1904158188	NA	66.6961394280967	"mgs70418"	"mgp1519"	"mgs70418"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6823977	-55.8351277	"2009-10-27"	"-"
"mgm4497391.3"	NA	203	2322452602	NA	87.4075965318667	"mgs70526"	"mgp1519"	"mgs70526"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7412664	-56.2533385	"2010-04-10"	"-"
"mgm4497392.3"	NA	79	1244498139	NA	63.4794038852315	"mgs70529"	"mgp1519"	"mgs70529"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7412664	-56.2533385	"2010-04-10"	"-"
"mgm4497393.3"	NA	167	1827960121	NA	91.3586670089068	"mgs70532"	"mgp1519"	"mgs70532"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7412664	-56.2533385	"2010-11-01"	"-"
"mgm4497394.3"	NA	133	1481073302	NA	89.7997417281106	"mgs70535"	"mgp1519"	"mgs70535"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7412664	-56.2533385	"2010-11-01"	"-"
"mgm4497395.3"	NA	387	1432800044	NA	270.100494218019	"mgs70538"	"mgp1519"	"mgs70538"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7412664	-56.2533385	"2011-03-03"	"-"
"mgm4497396.3"	NA	212	2734692439	NA	77.5224288393917	"mgs70541"	"mgp1519"	"mgs70541"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.7412664	-56.2533385	"2011-03-03"	"-"
"mgm4497397.3"	NA	126	1704589892	NA	73.9180729578091	"mgs70421"	"mgp1519"	"mgs70421"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6823977	-55.8351277	"2010-04-10"	"-"
"mgm4497398.3"	NA	91	1356434358	NA	67.0876548233232	"mgs70424"	"mgp1519"	"mgs70424"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6823977	-55.8351277	"2010-04-10"	"-"
"mgm4497399.3"	NA	167	2076937243	NA	80.4068589760466	"mgs70427"	"mgp1519"	"mgs70427"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6823977	-55.8351277	"2010-11-01"	"-"
"mgm4497400.3"	NA	460	1636743903	NA	281.045800235982	"mgs70430"	"mgp1519"	"mgs70430"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6823977	-55.8351277	"2010-11-01"	"-"
"mgm4497401.3"	NA	80	1224063712	NA	65.3560751909619	"mgs70433"	"mgp1519"	"mgs70433"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6823977	-55.8351277	"2011-03-03"	"-"
"mgm4497402.3"	NA	98	1556524848	NA	62.9607681020457	"mgs70436"	"mgp1519"	"mgs70436"	"Tropical and subtropical moist broadleaf forest biome"	"forest soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6823977	-55.8351277	"2011-03-03"	"-"
"mgm4497403.3"	NA	68	973557612	NA	69.8469193418417	"mgs70439"	"mgp1519"	"mgs70439"	"Tropical and subtropical moist broadleaf forest biome"	"bulk soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6821758	-55.008936	"2009-10-27"	"-"
"mgm4497404.3"	NA	47	215124670	NA	218.477964428719	"mgs70442"	"mgp1519"	"mgs70442"	"Tropical and subtropical moist broadleaf forest biome"	"bulk soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6821758	-55.008936	"2009-10-27"	"-"
"mgm4497405.3"	NA	139	1340008156	NA	103.730711919637	"mgs70445"	"mgp1519"	"mgs70445"	"Tropical and subtropical moist broadleaf forest biome"	"bulk soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6821758	-55.008936	"2010-04-10"	"-"
"mgm4497406.3"	NA	129	1822003404	NA	70.8011849576105	"mgs70448"	"mgp1519"	"mgs70448"	"Tropical and subtropical moist broadleaf forest biome"	"bulk soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6821758	-55.008936	"2010-04-10"	"-"
"mgm4497407.3"	NA	118	1675710093	NA	70.4179084991642	"mgs70451"	"mgp1519"	"mgs70451"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6832502	-55.8357663	"2009-10-27"	"-"
"mgm4497408.3"	NA	212	2963476618	NA	71.5375983438922	"mgs70454"	"mgp1519"	"mgs70454"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6832502	-55.8357663	"2009-10-27"	"-"
"mgm4497409.3"	NA	81	1435629829	NA	56.4212294588649	"mgs70457"	"mgp1519"	"mgs70457"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6832502	-55.8357663	"2010-04-10"	"-"
"mgm4497410.3"	NA	155	2324073974	NA	66.693229963428	"mgs70460"	"mgp1519"	"mgs70460"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6832502	-55.8357663	"2010-04-10"	"-"
"mgm4497411.3"	NA	147	1285654552	NA	114.338645455984	"mgs70463"	"mgp1519"	"mgs70463"	"Tropical and subtropical moist broadleaf forest biome"	"agricultural soil"	"bulk soil"	"soil"	"Amazonia"	"Brazil"	"-"	-11.6832502	-55.8357663	"2010-11-01"	"-"
